"EpisodeId","SeriesNumber","EpisodeNumber","EpisodeType","Title","EpisodeDate","AuthorId","DoctorId","Notes"
1,1,1,Normal episode,Rose,2005-03-26,18,1,
2,1,2,Normal episode,The End of the World,2005-04-02,18,1,
3,1,3,Normal episode,The Unquiet Dead,2005-04-09,18,1,
4,1,4,Normal episode,Aliens of London (Part 1),2005-04-16,18,1,
5,1,5,Normal episode,World War Three (Part 2),2005-04-23,18,1,
6,1,6,Normal episode,Dalek,2005-04-30,17,1,
7,1,7,Normal episode,The Long Game,2005-05-07,18,1,
8,1,8,Normal episode,Father's Day,2005-05-14,13,1,
9,1,9,Normal episode,The Empty Child (Part 1),2005-05-21,22,1,
10,1,10,Normal episode,The Doctor Dances (Part 2),2005-05-28,22,1,
11,1,11,Normal episode,Boom Town,2005-06-04,18,1,
12,1,12,Normal episode,Bad Wolf (Part 1),2005-06-11,18,1,
13,1,13,Normal episode,The Parting of the Ways (Part 2),2005-06-18,18,1,
14,2,,Christmas special,The Christmas Invasion,2005-12-25,18,3,
15,2,1,Normal episode,New Earth,2006-04-15,18,3,
16,2,2,Normal episode,Tooth and Claw,2006-04-22,18,3,
17,2,3,Normal episode,School Reunion,2006-04-29,23,3,
18,2,4,Normal episode,The Girl in the Fireplace,2006-05-06,22,3,
19,2,5,Normal episode,Rise of the Cybermen (Part 1),2006-05-13,24,3,
20,2,6,Normal episode,The Age of Steel (Part 2),2006-05-20,24,3,
21,2,7,Normal episode,The Idiot's Lantern,2006-05-27,8,3,
22,2,8,Normal episode,The Impossible Planet (Part 1),2006-06-03,9,3,
23,2,9,Normal episode,The Satan Pit (Part 2),2006-06-10,9,3,
24,2,10,Normal episode,Love & Monsters,2006-06-17,18,3,
25,2,11,Normal episode,Fear Her,2006-06-24,10,3,
26,2,12,Normal episode,Army of Ghosts (Part 1),2006-07-01,18,3,
27,2,13,Normal episode,Doomsday (Part 2),2006-07-08,18,3,
28,3,,Christmas special,The Runaway Bride,2006-12-25,18,3,
29,3,1,Normal episode,Smith and Jones,2007-03-31,18,3,
30,3,2,Normal episode,The Shakespeare Code,2007-04-07,2,3,
31,3,3,Normal episode,Gridlock,2007-04-14,18,3,"Guest appearance by Ardal O'Hanlon 
"
32,3,4,Normal episode,Daleks in Manhattan (Part 1),2007-04-21,5,3,"Technically monster is a human-dalek hybrid
"
33,3,5,Normal episode,Evolution of the Daleks (Part 2),2007-04-28,5,3,
34,3,6,Normal episode,The Lazarus Experiment,2007-05-05,20,3,
35,3,7,Normal episode,"42",2007-05-19,1,3,
36,3,8,Normal episode,Human Nature (Part 1),2007-05-26,13,3,
37,3,9,Normal episode,The Family of Blood (Part 2),2007-06-02,13,3,
38,3,10,Normal episode,Blink,2007-06-09,22,3,
39,3,11,Normal episode,Utopia (Part 1),2007-06-16,18,3,"Guest appearance by Derek Jacobi
"
40,3,12,Normal episode,The Sound of Drums (Part 2),2007-06-23,18,3,
41,3,13,Normal episode,Last of the Time Lords (Part 3),2007-06-30,18,3,
42,4,,Christmas special,Voyage of the Damned,2007-12-25,18,3,
43,4,1,Normal episode,Partners in Crime,2008-04-05,18,3,
44,4,2,Normal episode,The Fires of Pompeii,2008-04-12,4,3,"Both Peter Capaldi and Karen Gillan play characters in this episode (future Doctor and companion)
"
45,4,3,Normal episode,Planet of the Ood,2008-04-19,7,3,
46,4,4,Normal episode,The Sontaran Stratagem (Part 1),2008-04-26,3,3,
47,4,5,Normal episode,The Poison Sky (Part 2),2008-05-03,3,3,
48,4,6,Normal episode,The Doctor's Daughter,2008-05-10,20,3,
49,4,7,Normal episode,The Unicorn and the Wasp,2008-05-17,2,3,"Felicity Kendal guest stars
"
50,4,8,Normal episode,Silence in the Library (Part 1),2008-05-31,22,3,"Count the shadows …
"
51,4,9,Normal episode,Forest of the Dead (Part 2),2008-06-07,22,3,
52,4,10,Normal episode,Midnight,2008-06-14,18,3,
53,4,11,Normal episode,Turn Left,2008-06-21,18,3,
